portfolio_category,index,display_title,display_description,source_title,source_description,portfolio_caption,summary_description,thumbnail_url,platform,watch_url,portfolio_page_url,source_author,video_id,embed_url,source_metadata_status
GAME TRAILERS/TEASERS,1,Balan Wonderworld: Gameplay_Trailer,"Promotional trailer/teaser built to quickly introduce the title, event, character, feature, or mood.",Balan Wonderworld: Gameplay_Trailer,,Balan Wonderworld: True Happiness Is An Adventure Gameplay Trailer,"Promotional trailer/teaser built to quickly introduce the title, event, character, feature, or mood.",https://i.vimeocdn.com/video/1829129070-c88a52353e235f0ba7601ed5bee55b4b8eb9f431bb6291d09c300ea9241b2d6f-d_295x166?region=us,Vimeo,https://vimeo.com/931744563,https://zbutcher.myportfolio.com/game-trailers,zbutcher,931744563,https://player.vimeo.com/video/931744563?badge=0&autopause=0&player_id=0&app_id=58479,HTTP 200
GAME TRAILERS/TEASERS,2,XBOX Game Pass: Back 4 Blood - Tease,"Promotional trailer/teaser built to quickly introduce the title, event, character, feature, or mood. Focuses on Xbox Game Pass catalog/service promotion.",XBOX Game Pass: Back 4 Blood - Tease,,XBOX Game Pass: Back 4 Blood - Tease,"Promotional trailer/teaser built to quickly introduce the title, event, character, feature, or mood. Focuses on Xbox Game Pass catalog/service promotion.",https://i.vimeocdn.com/video/1829300951-34e9bd113edf7e1f9e189a8b1459b5abb767ad60fe2e0cff3ca87530ec215852-d_295x166?region=us,Vimeo,https://vimeo.com/931854715,https://zbutcher.myportfolio.com/game-trailers,zbutcher,931854715,https://player.vimeo.com/video/931854715?badge=0&autopause=0&player_id=0&app_id=58479,HTTP 200
GAME TRAILERS/TEASERS,3,Destiny: The Taken King Cinematic Trailer,"Promotional trailer/teaser built to quickly introduce the title, event, character, feature, or mood. Destiny/Bungie-related sci-fi action material is prominent.",Destiny: The Taken King Cinematic Trailer,,Destiny: The Taken King Cinematic Trailer,"Promotional trailer/teaser built to quickly introduce the title, event, character, feature, or mood. Destiny/Bungie-related sci-fi action material is prominent.",https://i.vimeocdn.com/video/1829141310-30edde9cb2fb93193abe4c4ad139a64aea84a0f357ca034b8529b5784f1f65a7-d_295x166?region=us,Vimeo,https://vimeo.com/931744598,https://zbutcher.myportfolio.com/game-trailers,zbutcher,931744598,https://player.vimeo.com/video/931744598?badge=0&autopause=0&player_id=0&app_id=58479,HTTP 200
GAME TRAILERS/TEASERS,4,Destiny: Rise Of Iron - Wrath of the Machine Raid Trailer,"Promotional trailer/teaser built to quickly introduce the title, event, character, feature, or mood. Destiny/Bungie-related sci-fi action material is prominent.",Destiny: Rise Of Iron - Wrath of the Machine Raid Trailer,,Destiny: Rise Of Iron - Wrath of the Machine Raid Trailer,"Promotional trailer/teaser built to quickly introduce the title, event, character, feature, or mood. Destiny/Bungie-related sci-fi action material is prominent.",https://i.vimeocdn.com/video/1829146944-5c701408f4dc74d5c2152f8ddfdc7a42b42918f6843ee7d8d3a21c65d11082fb-d_295x166?region=us,Vimeo,https://vimeo.com/931744644,https://zbutcher.myportfolio.com/game-trailers,zbutcher,931744644,https://player.vimeo.com/video/931744644?badge=0&autopause=0&player_id=0&app_id=58479,HTTP 200
GAME TRAILERS/TEASERS,5,Destiny: The Taken King - King's Fall Raid Teaser,"Promotional trailer/teaser built to quickly introduce the title, event, character, feature, or mood. Destiny/Bungie-related sci-fi action material is prominent.",Destiny: The Taken King - King's Fall Raid Teaser,,Destiny: The Taken King - King's Fall Raid Teaser,"Promotional trailer/teaser built to quickly introduce the title, event, character, feature, or mood. Destiny/Bungie-related sci-fi action material is prominent.",https://i.vimeocdn.com/video/1829151284-05cf8ea08fe6aec292aed7d26feb385f4033cdf154b0697562689df14fc4fdf3-d_295x166?region=us,Vimeo,https://vimeo.com/931744662,https://zbutcher.myportfolio.com/game-trailers,zbutcher,931744662,https://player.vimeo.com/video/931744662?badge=0&autopause=0&player_id=0&app_id=58479,HTTP 200
GAME TRAILERS/TEASERS,6,Destiny 2 - Coldheart Exotic Pre-Order Trailer | PS4,https://www.playstation.com/games/destiny-2/?emcid=or-1s-412983 Experimental energy. Deadly precision. Cold as ice. Pre-order Destiny 2 and get the Coldheart Exotic Trace Rifle. https://www.playstation.com/en-us/games/destiny-2-ps4/ New Legends Will Rise on September 6. FOLLOW DESTINY: Facebook: https://www.facebook.com/DestinyTheGame Twitter: https://www.twitter.com/destinythegame Instagram: https://www.instagram.com/destinythegame FOLLOW BUNGIE: Facebook: https://www.facebook.com/Bungie/ Twitter: https://www.twitter.com/bungie Instagram: https://www.instagram.com/bungie/,Destiny 2 - Coldheart Exotic Pre-Order Trailer | PS4,https://www.playstation.com/games/destiny-2/?emcid=or-1s-412983 Experimental energy. Deadly precision. Cold as ice. Pre-order Destiny 2 and get the Coldheart Exotic Trace Rifle. https://www.playstation.com/en-us/games/destiny-2-ps4/ New Legends Will Rise on September 6. FOLLOW DESTINY: Facebook: https://www.facebook.com/DestinyTheGame Twitter: https://www.twitter.com/destinythegame Instagram: https://www.instagram.com/destinythegame FOLLOW BUNGIE: Facebook: https://www.facebook.com/Bungie/ Twitter: https://www.twitter.com/bungie Instagram: https://www.instagram.com/bungie/,Destiny 2: Coldheart Exotic Pre-Order Trailer,"Promotional trailer/teaser built to quickly introduce the title, event, character, feature, or mood. Destiny/Bungie-related sci-fi action material is prominent.",https://i.ytimg.com/vi/3pt4nm3mmjo/hqdefault.jpg,YouTube,https://www.youtube.com/watch?v=3pt4nm3mmjo,https://zbutcher.myportfolio.com/game-trailers,PlayStation,3pt4nm3mmjo,https://www.youtube.com/embed/3pt4nm3mmjo,HTTP 200
GAME TRAILERS/TEASERS,7,Destiny 2 Official Soundtrack Trailer,"Promotional trailer/teaser built to quickly introduce the title, event, character, feature, or mood. Destiny/Bungie-related sci-fi action material is prominent.",Destiny 2 Official Soundtrack Trailer,,Destiny 2 Official Soundtrack Trailer,"Promotional trailer/teaser built to quickly introduce the title, event, character, feature, or mood. Destiny/Bungie-related sci-fi action material is prominent.",https://i.vimeocdn.com/video/1829218204-bcbae8cead92caa64af69ba46587ada746f50a726bbdd025c0ea234321e290fb-d_295x166?region=us,Vimeo,https://vimeo.com/931804753,https://zbutcher.myportfolio.com/game-trailers,zbutcher,931804753,https://player.vimeo.com/video/931804753?badge=0&autopause=0&player_id=0&app_id=58479,HTTP 200
GAME TRAILERS/TEASERS,8,Destiny 2: Forsaken Original Soundtrack Trailer,"Promotional trailer/teaser built to quickly introduce the title, event, character, feature, or mood. Destiny/Bungie-related sci-fi action material is prominent.",Destiny 2: Forsaken Original Soundtrack Trailer,,Destiny 2: Forsaken Original Soundtrack Trailer,"Promotional trailer/teaser built to quickly introduce the title, event, character, feature, or mood. Destiny/Bungie-related sci-fi action material is prominent.",https://i.vimeocdn.com/video/1829226670-8716821145d04cc45a7b290fa81ec52b0a20f1ece4daa4d0a9299bcd61d08a0e-d_295x166?region=us,Vimeo,https://vimeo.com/931809978,https://zbutcher.myportfolio.com/game-trailers,zbutcher,931809978,https://player.vimeo.com/video/931809978?badge=0&autopause=0&player_id=0&app_id=58479,HTTP 200
GAME TRAILERS/TEASERS,9,Destiny 2 – Solstice of Heroes Trailer,"\""This is our finest hour. Ever victorious against the enemies of humanity. Ever triumphant in our home, and around the system. Now the City wants to honor us. Who are we to deny them?\"" —Ikora Rey The City has gathered together to celebrate your bravery and accomplishments. All players of Destiny 2 are invited. During Solstice of Heroes, don your now-broken ceremonial armor, face new challenges, and re-forge it into something stronger than ever before. Meditate on your journey with Moments of Triumph. Tracked by in-game Bounties, you’ll unlock unique rewards. 🌞 www.bungie.net/solstice FOLLOW DESTINY: Twitter: https://www.twitter.com/destinythegame Instagram: https://www.instagram.com/destinythegame Facebook: https://www.facebook.com/DestinyTheGame FOLLOW BUNGIE: Twitter: https://www.twitter.com/bungie Instagram: https://www.instagram.com/bungie/ Facebook: https://www.facebook.com/Bun…",Destiny 2 – Solstice of Heroes Trailer,"\""This is our finest hour. Ever victorious against the enemies of humanity. Ever triumphant in our home, and around the system. Now the City wants to honor us. Who are we to deny them?\"" —Ikora Rey The City has gathered together to celebrate your bravery and accomplishments. All players of Destiny 2 are invited. During Solstice of Heroes, don your now-broken ceremonial armor, face new challenges, and re-forge it into something stronger than ever before. Meditate on your journey with Moments of Triumph. Tracked by in-game Bounties, you’ll unlock unique rewards. 🌞 www.bungie.net/solstice FOLLOW DESTINY: Twitter: https://www.twitter.com/destinythegame Instagram: https://www.instagram.com/destinythegame Facebook: https://www.facebook.com/DestinyTheGame FOLLOW BUNGIE: Twitter: https://www.twitter.com/bungie Instagram: https://www.instagram.com/bungie/ Facebook: https://www.facebook.com/Bun…",Destiny 2 – Solstice of Heroes Trailer,"Promotional trailer/teaser built to quickly introduce the title, event, character, feature, or mood. Destiny/Bungie-related sci-fi action material is prominent.",https://i.ytimg.com/vi/we-wsax7sps/hqdefault.jpg,YouTube,https://www.youtube.com/watch?v=we-wsax7sps,https://zbutcher.myportfolio.com/game-trailers,Bungie,we-wsax7sps,https://www.youtube.com/embed/we-wsax7sps,HTTP 200
GAME TRAILERS/TEASERS,10,Destiny: Rise of Iron - Official Iron Gjallarwing Sparrow Pre-order Trailer | PS4,"https://www.playstation.com/en-us/games/destiny-ps4/ Forged for beauty. Tempered for speed. An iron steed for all your adventures. Pre-order Destiny: Rise of Iron at participating retailers and receive the uniquely themed black and silver Iron Gjallarwing Sparrow. Destiny: Rise of Iron launches September 20th, 2016. Requires Destiny game and The Taken King (includes Expansions I & II). Sold separately. FOLLOW DESTINY: Facebook: https://www.facebook.com/DestinyTheGame Twitter: https://twitter.com/destinythegame Instagram: https://www.instagram.com/destinythegame",Destiny: Rise of Iron - Official Iron Gjallarwing Sparrow Pre-order Trailer | PS4,"https://www.playstation.com/en-us/games/destiny-ps4/ Forged for beauty. Tempered for speed. An iron steed for all your adventures. Pre-order Destiny: Rise of Iron at participating retailers and receive the uniquely themed black and silver Iron Gjallarwing Sparrow. Destiny: Rise of Iron launches September 20th, 2016. Requires Destiny game and The Taken King (includes Expansions I & II). Sold separately. FOLLOW DESTINY: Facebook: https://www.facebook.com/DestinyTheGame Twitter: https://twitter.com/destinythegame Instagram: https://www.instagram.com/destinythegame",Destiny: Iron Gjallarwing Sparrow,Portfolio video embedded as an example of editorial work. Destiny/Bungie-related sci-fi action material is prominent.,https://i.ytimg.com/vi/YbW_CdrYCGE/hqdefault.jpg,YouTube,https://www.youtube.com/watch?v=YbW_CdrYCGE,https://zbutcher.myportfolio.com/game-trailers,PlayStation,YbW_CdrYCGE,https://www.youtube.com/embed/YbW_CdrYCGE,HTTP 200
